State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Month
OK,839297.0,485261.0,58554.0,0.0,24946.0,82212.0,0.0,0.0,33288.0,155036.0,130442.0,506514.0,9236.0,6628.0,591.0,0.0,199.0,867.0,0.0,0.0,290.0,661.0,567.0,7374.0,1295.0,80
OR,311183.0,132456.0,10289.0,0.0,8675.0,7517.0,5048.0,6021.0,101247.0,39929.0,115567.0,155544.0,4941.0,3303.0,108.0,0.0,154.0,97.0,56.0,92.0,538.0,593.0,655.0,3420.0,866.0,80
PA,1441696.0,575835.0,179998.0,0.0,27464.0,0.0,0.0,0.0,14391.0,644008.0,115714.0,384168.0,67687.0,49058.0,13584.0,0.0,1356.0,0.0,0.0,0.0,3140.0,549.0,3868.0,63270.0,549.0,80
PR,453823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453823.0,0.0,0.0,6017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6017.0,0.0,0.0,0.0,80
RI,223186.0,69072.0,21208.0,77418.0,3280.0,654.0,0.0,1542.0,2759.0,47253.0,77418.0,98515.0,9211.0,6036.0,460.0,864.0,105.0,8.0,0.0,1.0,0.0,1737.0,864.0,6610.0,1737.0,80
SC,1297018.0,521507.0,330766.0,0.0,12381.0,0.0,0.0,0.0,90458.0,341906.0,98895.0,698025.0,29136.0,14142.0,10022.0,0.0,202.0,0.0,0.0,0.0,724.0,4046.0,904.0,21086.0,7146.0,80
SD,258619.0,167025.0,10896.0,13972.0,6689.0,31521.0,0.0,0.0,20807.0,7709.0,13972.0,236938.0,2498.0,1723.0,22.0,48.0,51.0,449.0,0.0,0.0,156.0,49.0,48.0,2401.0,49.0,80
TN,1810332.0,1018581.0,311922.0,0.0,16016.0,2317.0,1343.0,0.0,205144.0,255009.0,212086.0,1215078.0,23065.0,15735.0,5972.0,0.0,199.0,32.0,18.0,0.0,918.0,191.0,1226.0,21563.0,276.0,80
TX,6545967.0,134218.0,73796.0,176236.0,6570.0,0.0,0.0,0.0,2014.0,6153133.0,176236.0,216598.0,134948.0,40672.0,14746.0,74542.0,2448.0,0.0,0.0,0.0,722.0,1818.0,74542.0,58588.0,1818.0,80
UT,738956.0,382303.0,13447.0,218271.0,16149.0,11983.0,25453.0,0.0,76501.0,71597.0,218271.0,449088.0,4278.0,2339.0,64.0,904.0,201.0,297.0,213.0,0.0,321.0,237.0,904.0,3137.0,237.0,80
VA,1310922.0,404388.0,259716.0,296430.0,40199.0,1620.0,0.0,10754.0,30459.0,267356.0,296430.0,747136.0,27458.0,15094.0,7275.0,2558.0,1242.0,56.0,0.0,39.0,373.0,821.0,2558.0,24079.0,821.0,80
VI,10673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10673.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,164.0,80
VT,15470.0,12714.0,1575.0,0.0,567.0,17.0,0.0,0.0,343.0,254.0,501.0,12645.0,464.0,440.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,464.0,0.0,80
WA,775357.0,212101.0,30456.0,208678.0,25979.0,8469.0,12411.0,13465.0,9891.0,253907.0,208678.0,312772.0,17904.0,12006.0,565.0,2519.0,1287.0,454.0,293.0,202.0,330.0,248.0,2519.0,15143.0,248.0,80
WI,1409412.0,1020437.0,113912.0,0.0,31024.0,17145.0,0.0,0.0,99446.0,127448.0,201771.0,992115.0,12882.0,9927.0,1964.0,0.0,340.0,161.0,0.0,0.0,232.0,258.0,1334.0,11127.0,421.0,80
WV,156498.0,114994.0,7996.0,0.0,0.0,8.0,0.0,0.0,33500.0,780.0,0.0,0.0,3171.0,2564.0,90.0,0.0,0.0,0.0,0.0,0.0,517.0,14.0,0.0,0.0,0.0,80
WY,71251.0,39944.0,663.0,7746.0,406.0,4979.0,238.0,0.0,3037.0,14209.0,7746.0,49267.0,480.0,242.0,8.0,16.0,1.0,122.0,0.0,0.0,15.0,93.0,16.0,373.0,93.0,80
