State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
District of Columbia,331477.0,0.4599,DC,7036.0,3273.4444444444443,0.465534135895587,370.44444444444446,284.22222222222223,0.7700634853309082
Mississippi,1147920.0,0.384,MS,11291.666666666666,5871.222222222223,0.5153956391744078,521.3333333333334,267.55555555555554,0.5129530903769635
Louisiana,1553060.0,0.3343,LA,35656.0,,,2388.6666666666665,1300.111111111111,0.5466672103317004
Georgia,3378260.0,0.3147,GA,37846.444444444445,12886.555555555555,0.3426208005604456,1616.5555555555557,791.0,0.49046194017412276
Maryland,1899670.0,0.3123,MD,38851.666666666664,12046.666666666666,0.314592222047777,1883.5555555555557,774.2222222222222,0.4114015692405655
Alabama,1334890.0,0.2719,AL,12214.555555555555,4897.111111111111,0.39738691804384657,466.1111111111111,205.33333333333334,0.44150779100115023
South Carolina,1401780.0,0.2691,SC,8868.444444444445,3471.0,0.39203230363829816,384.44444444444446,152.0,0.39302730373773515
Delaware,226875.0,0.2308,DE,7516.888888888889,2041.111111111111,0.27255679336218275,275.22222222222223,69.44444444444444,0.2536203764148859
North Carolina,2331120.0,0.2197,NC,18897.222222222223,4573.222222222223,0.24703800479259408,647.5555555555555,214.66666666666666,0.33090828836218145
Virginia,1766960.0,0.2048,VA,30461.11111111111,4729.555555555556,0.15881210277932487,1005.4444444444445,214.22222222222223,0.21536028135560492
New York,3368300.0,0.1733,NY,353971.0,,,22284.444444444445,4359.555555555556,0.19354654644605362
Puerto Rico,523962.0,0.1728,PR,2914.4285714285716,,,123.71428571428571,,
Tennessee,1188330.0,0.1723,TN,17649.666666666668,3707.3333333333335,0.20924582520810356,291.6666666666667,95.77777777777777,0.32583748634717735
Florida,3592350.0,0.1633,FL,44922.22222222222,8544.111111111111,0.1897298133434136,2020.375,426.75,0.2111471103506536
Arkansas,488364.0,0.1607,AR,4924.111111111111,1725.6666666666667,0.3505306113722307,100.44444444444444,36.111111111111114,0.35811315319013126
Illinois,1959970.0,0.1548,IL,92405.44444444444,16303.0,0.1787351205879021,4091.222222222222,1278.7777777777778,0.31613771264069956
Michigan,1516350.0,0.151,MI,50685.77777777778,15917.111111111111,0.3144386005237249,4849.222222222223,1955.4444444444443,0.4035810061955927
New Jersey,1313610.0,0.147,NJ,149721.7142857143,14173.0,0.09342248584907976,10072.222222222223,1747.888888888889,0.17263137761964706
Ohio,1639040.0,0.1395,OH,27723.777777777777,7044.111111111111,0.25436820124658666,1629.0,273.6666666666667,0.1670115222316254
Missouri,778915.0,0.1263,MO,10774.444444444445,3458.4444444444443,0.32056819932388164,570.1111111111111,196.66666666666666,0.3398758728357822
Pennsylvania,1607610.0,0.1254,PA,61347.0,7155.666666666667,0.11605444756923686,4258.777777777777,656.5555555555555,0.14502910357124527
Texas,3646880.0,0.1237,TX,47100.555555555555,2109.0,0.04602100715222089,1285.4444444444443,64.55555555555556,0.051963441317598995
Connecticut,437087.0,0.1227,CT,36564.88888888889,4574.666666666667,0.12479648487627365,3298.0,487.22222222222223,0.14785401968883474
Indiana,708540.0,0.105,IN,27426.777777777777,3844.1111111111113,0.1408755068123824,1582.4444444444443,247.11111111111111,0.15712973814345632
Nevada,309359.0,0.0985,NV,7284.428571428572,606.75,0.07661246089490953,368.85714285714283,50.0,0.12537896428258094
Kentucky,413151.0,0.0918,KY,7528.888888888889,799.6666666666666,0.10628244346547505,344.0,56.44444444444444,0.1638921877281424
Oklahoma,358388.0,0.0906,OK,5247.555555555556,431.22222222222223,0.08017827858210484,288.3333333333333,23.666666666666668,0.0821863890132178
Massachusetts,627601.0,0.09,MA,84138.0,7104.333333333333,0.08377014469179699,5594.0,286.6666666666667,0.05147529756468358
Rhode Island,86052.0,0.0815,RI,12401.555555555555,1249.7777777777778,0.10196603429995958,488.77777777777777,24.666666666666668,0.04900035639684913
Kansas,214553.0,0.0737,KS,7739.444444444444,796.7777777777778,0.10339509298117683,171.88888888888889,51.888888888888886,0.30295148924062093
Wisconsin,431044.0,0.0737,WI,12676.0,2557.6666666666665,0.203881808014601,455.22222222222223,127.44444444444444,0.28304411558123327
Minnesota,410895.0,0.0721,MN,15628.333333333334,3251.8888888888887,0.19746842027780598,717.7777777777778,39.77777777777778,0.05402379101002528
California,2753570.0,0.0689,CA,79491.22222222222,3176.4444444444443,0.04029489042190349,3163.5555555555557,306.6666666666667,0.09733857171177795
Nebraska,113007.0,0.0579,NE,11153.0,,,135.57142857142858,,
Arizona,390181.0,0.0529,AZ,13779.222222222223,448.44444444444446,0.03222887057136165,653.5555555555555,20.11111111111111,0.030994183028139055
